FID;Country;County;Latitude;Longitude;Region;SiteID;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;Marine resources %;Aquatic resources %;CombineGroup;Material;Context;Source;Main.bibliography;Bibliography;Observations
30;Spain;Southern Meseta;39,780616;-5,148423;Centre;S8;Azutan;Passage grave;Ly-4500;4590;90;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;MuÅller 1998, 82;Bueno Ramirez 1991, 57;"MuÅller 1998, 82; Bueno Ram°rez 1991, 57";n/a
31;Spain;Southern Meseta;39,780616;-5,148423;Centre;S8;Azutan;Passage grave;Beta-145277;4620;40;n/a;n/a;n/a;n/a;n/a;n/a;Chamber;Garcia Sanjuan  et al 2011, Tab. 2;n/a;Garcia Sanjuan et al 2011, Tab. 2;n/a
32;Spain;Southern Meseta;39,780616;-5,148423;Centre;S8;Azutan;Passage grave;UGRA-288;5060;90;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;MuÅller 1998, 82;Bueno Ramirez 1991, 57;"MÅuller 1998, 82; Bueno Ramirez 1991, 57";n/a
33;Spain;Southern Meseta;39,780616;-5,148423;Centre;S8;Azutan;Passage grave;Beta-157731;5250;40;n/a;n/a;n/a;n/a;n/a;Charcoal;Hut;n/a;n/a;n/a;n/a
34;Spain;Southern Meseta;39,780616;-5,148423;Centre;S8;Azutan;Passage grave;Ly-4578;5750;130;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;MuÅller 1998, 82;Bueno Ramirez 1991, 113;"MuÅller 1998, 82; Bueno Ramirez 1991, 113";n/a
168;Spain;Southern Meseta;39,991466;-4,209227;Centre;S39;El Castillejo;Tumulus;N.R.-N.R.;3710;70;n/a;n/a;n/a;n/a;n/a;Human bone;;IDEArq.org;n/a;n/a;n/a
169;Spain;Southern Meseta;39,991466;-4,209227;Centre;S39;El Castillejo;Tumulus;Beta-145274;3810;70;n/a;n/a;n/a;n/a;n/a;Human bone;Platform;Garcia Sanjuan  et al 2011, Tab. 3;Bueno Ramirez et al 2000;"Garcia Sanjuan et al 2011, Tab. 3; Bueno Ram°rez et al. 2000";n/a
170;Spain;Southern Meseta;39,991466;-4,209227;Centre;S39;El Castillejo;Tumulus;GX-29783;4050;70;n/a;n/a;n/a;n/a;n/a;Human bone;Burial, Individual 5;Bueno Ramirez et al. 2010, Tab 3;Bueno Ramirez et al 2005;"Bueno Ramirez et al 2010, Tab 3; Bueno Ramirez et al 2005";n/a
171;Spain;Southern Meseta;39,991466;-4,209227;Centre;S39;El Castillejo;Tumulus;GX-29784;4180;50;n/a;n/a;n/a;n/a;n/a;Human bone;Burial, Individual 15;Bueno Ramirez et al. 2010, Tab 3;Bueno Ramirez et al 2005;"Bueno Ramirez et al 2010, Tab 3; Bueno Ram°rez et al 2005";n/a
172;Spain;Southern Meseta;39,991466;-4,209227;Centre;S39;El Castillejo;Tumulus;Beta-132915;4930;40;n/a;n/a;n/a;n/a;n/a;Charcoal;;IDEArq.org;n/a;n/a;n/a
