SiteID;Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Curve;Food.source;Material;Context;Source;MainBibliography;Bibliography;Observations
S1;Spain;42,9595817;-2,2154676;1053450;4778711;North;Aitxu;Cist;GrA-11494;3570;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S1;Spain;42,9595817;-2,2154676;1053450;4778711;North;Aitxu;Cist;I-17615;3530;110;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrA-5097;3990;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrA-16918;4085;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrN-25699;4160;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrA-16921;4470;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrN-21297;3460;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrA-6088;4410;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrA-16919;4430;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrA-6087;4490;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S2;Spain;42,68669429;-1,908223815;1081086;4750470;Ebro basin;Aizibita;Dolmen;GrA-4889;4030;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;Beguiristain 2011;n/a;Beguiristain 2011;n/a
S3;Portugal;38,706541;-9,377149;467207;4284279;Tagus and western basins;Alapraia 4;Rock-cut-tomb, artificial cave & hypogeum;Beta-178462;3260;40;-19,4;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;GonÁalves 2005;GonÁalves 2005;Lozano Medina 2017;n/a
S3;Portugal;38,706541;-9,377149;467207;4284279;Tagus and western basins;Alapraia 4;Rock-cut-tomb, artificial cave & hypogeum;Beta-178461;4110;40;-18,7;n/a;n/a;n/a;n/a;n/a;intcal20;Mainly meat;Human bone;n/a;GonÁalves 2005;GonÁalves 2005;Lozano Medina 2017;n/a
S4;Spain;36,8158;-5,6336;800299;4079728;South;Alberite;Dolmen;Beta-80598;5020;70;-25;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Garcia Sanjuan et al 2011, Tab 2;Ramos MuÒoz, Giles Pacheco 1996;Garcia Sanjuan et al 2011;n/a
S4;Spain;36,8158;-5,6336;800299;4079728;South;Alberite;Dolmen;Beta-80602;5320;70;-25;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Garcia Sanjuan et al 2011, Tab 2;Ramos MuÒoz, Giles Pacheco 1996;Garcia Sanjuan et al 2011;n/a
S4;Spain;36,8158;-5,6336;800299;4079728;South;Alberite;Dolmen;Beta-80600;5110;140;-25;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Garcia Sanjuan et al 2011, Tab 2;Ramos MuÒoz, Giles Pacheco 1996;Garcia Sanjuan et al 2011;n/a
S5;Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;CNA-2274;3115;40;-22,11;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated
S5;Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;CNA-2275;3475;40;-21,29;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated
S5;Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;CNA-2273;3045;40;-21,09;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated
S5;Spain;37,1833468;-4,407928841;907719;4125098;South;Alcaide 14;Rock-cut-tomb, artificial cave & hypogeum;CNA-2276;2945;40;-20,24;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Aranda Jimenez, Lozano Medina e.p.;Aranda Jimenez, Lozano Medina e.p.;Lozano Medina 2017;Geographic coordinates approximated
S6;Portugal;37,1991;-8,588;536562;4117039;South;Alcalar 7;Tholos;Beta-180980;3860;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Entrance area;Moran, Parreira 2004;n/a;Carvalho 2008;n/a
S6;Portugal;37,1991;-8,588;536562;4117039;South;Alcalar 7;Tholos;Beta-180978;5810;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Under tumulus, layer 1;Moran, Parreira 2004;n/a;Carvalho 2008;n/a
S6;Portugal;37,1991;-8,588;536562;4117039;South;Alcalar 7;Tholos;Sac-1794;5640;100;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Under tumulus, layer 1;Moran, Parreira 2004;n/a;Carvalho 2008;n/a
S6;Portugal;37,1991;-8,588;536562;4117039;South;Alcalar 7;Tholos;Beta-180981;5690;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Under tumulus. layer 2;Moran, Parreira 2004;n/a;Carvalho 2008;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;SUA-1169;4650;90;n/a;n/a;n/a;n/a;-170;70;marine20;n/a;Shell;n/a;Walker 1985;Walker 1985;Lozano Medina 2017;DeltaR values from Monge Soares, Matos Martins 2010
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;KN-73;3810;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Almagro Gorbea 1972;Almagro Gorbea 1972;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-269;3860;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Alonso et al 1978;Alonso et al 1978;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-647;3900;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;CastaÒo et al 1991;CastaÒo et al 1991;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-646;3910;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;CastaÒo et al 1991;CastaÒo et al 1991;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-644;3950;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;CastaÒo et al 1991;CastaÒo et al 1991;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-643;4030;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;CastaÒo et al 1991;CastaÒo et al 1991;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-645;4030;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;CastaÒo et al 1991;CastaÒo et al 1991;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-754;4060;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;CastaÒo et al 1991;CastaÒo et al 1991;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;IRPA-1081;4000;50;-22,4;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Castro et al 1996;Castro et al 1996;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;IRPA-1082;4290;60;-21,8;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Castro et al 1996;Castro et al 1996;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;UGRA-170;4300;90;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Gonzalez-Gomez et al 1986;Gonzalez-Gomez et al 1986;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;IRPA-1084;4210;60;-21,8;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;http://c14.kikirpa.be/;http://c14.kikirpa.be/;Lozano Medina 2017;n/a
S7;Spain;37,26481871;-1,788277469;1139890;4148708;South;Almizaraque;Rock-cut-tomb, artificial cave & hypogeum;CSIC-655;3890;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;IDEArq.org;n/a;Lozano Medina 2017;n/a
S8;Spain;42,6256;-8,9375;505125;4719241;North;Alto da Barreira;Tumulus;CSIC-1038;2840;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S8;Spain;42,6256;-8,9375;505125;4719241;North;Alto da Barreira;Tumulus;CSIC-1039;6030;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Debris tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Alonso, Bello 1997;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294/Alonso/Bello 1997;n/a
S9;Spain;42,43668934;-3,47553358;954445;4713070;Ebro basin;Alto del Reinoso;Tumulus;MAMS-14325;4911;25;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Santa Cruz del Barrio et al 2020;Rojo et al 2015;Santa Cruz del Barrio et al 2020/Rojo et al 2015/Alt et al 2016;Geographic coordinates approximated
S9;Spain;42,43668934;-3,47553358;954445;4713070;Ebro basin;Alto del Reinoso;Tumulus;MAMS-14326;4854;26;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Santa Cruz del Barrio et al 2020;Rojo et al 2015;Santa Cruz del Barrio et al 2020/Rojo et al 2015/Alt et al 2016;Geographic coordinates approximated
S9;Spain;42,43668934;-3,47553358;954445;4713070;Ebro basin;Alto del Reinoso;Tumulus;MAMS-14327;4933;27;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Santa Cruz del Barrio et al 2020;Rojo et al 2015;Santa Cruz del Barrio et al 2020/Rojo et al 2015/Alt et al 2016;Geographic coordinates approximated
S10;Portugal;38,3906;-7,4847;632334;4250241;South;Anta 2 da Herdade dos Cebolinhos;Megalithic grave;Beta-177471;3840;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Chamber;GonÁalvez 2003;n/a;GonÁalvez 2003;n/a
S10;Portugal;38,3906;-7,4847;632334;4250241;South;Anta 2 da Herdade dos Cebolinhos;Megalithic grave;Beta-176899;3900;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Chamber;GonÁalvez 2003;n/a;GonÁalvez 2003;n/a
S11;Portugal;39,2242;-7,6795;613984;4342487;Tagus and western basins;Anta da Horta;Dolmen;Beta-194312;4190;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Oliveira 2006;n/a;Oliveira 2006;n/a
S11;Portugal;39,2242;-7,6795;613984;4342487;Tagus and western basins;Anta da Horta;Dolmen;Beta-194313;4390;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Oliveira 2006;n/a;Oliveira 2006;n/a
S12;Portugal;40,7125;-8,2439;563864;4507117;Douro/Duero and Mondego basins;Antelas;Passage grave;OxA-5497;5295;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Corridor;Senna-Martinez, Ventura 2008;n/a;Senna-Martinez, Ventura 2008;n/a
S12;Portugal;40,7125;-8,2439;563864;4507117;Douro/Duero and Mondego basins;Antelas;Passage grave;OxA-5496;5330;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Corridor;Senna-Martinez, Ventura 2008;n/a;Senna-Martinez, Ventura 2008;n/a
S12;Portugal;40,7125;-8,2439;563864;4507117;Douro/Duero and Mondego basins;Antelas;Passage grave;OxA-5498;5070;65;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Corridor;Senna-Martinez, Ventura 2008;n/a;Senna-Martinez, Ventura 2008;n/a
S12;Portugal;40,7125;-8,2439;563864;4507117;Douro/Duero and Mondego basins;Antelas;Passage grave;OxA-5433;4655;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Painting with black charcoal;Senna-Martinez, Ventura 2008;n/a;Senna-Martinez, Ventura 2008;n/a
S13;Portugal;41,0465;-7,4713;628477;4545044;Douro/Duero and Mondego basins;Areita 1;Passage grave;GrA-18497;4840;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Ground level chamber;Cruz et al 2003;n/a;Cruz et al 2003;n/a
S13;Portugal;41,0465;-7,4713;628477;4545044;Douro/Duero and Mondego basins;Areita 1;Passage grave;GrA-18518;5170;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Ground level chamber;Cruz et al 2003;n/a;Cruz et al 2003;n/a
S13;Portugal;41,0465;-7,4713;628477;4545044;Douro/Duero and Mondego basins;Areita 1;Passage grave;Sac-1508;5830;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement chamber;Cruz et al 2003;Gomes et al 1998;Cruz et al 2003/Gomes et al 1998;n/a
S13;Portugal;41,0465;-7,4713;628477;4545044;Douro/Duero and Mondego basins;Areita 1;Passage grave;Sac-1514;5970;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement chamber;Cruz et al 2003;Gomes et al 1998;Cruz et al 2003/Gomes et al 1998;n/a
S13;Portugal;41,0465;-7,4713;628477;4545044;Douro/Duero and Mondego basins;Areita 1;Passage grave;CSIC-1327;5699;31;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Under the floor of the chamber;Senna-Martinez, Ventura 2008;n/a;Senna-Martinez, Ventura 2008;n/a
S14;Spain;42,7158;-3,6792;935733;4743001;Ebro basin;Arnillas;Passage grave;GrN-12124;4575;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Entrance chamber layer 6;Boaventura 2009;Alonso, Rojo 1987;Boaventura 2009/Alonso, Rojo 1987;n/a
S14;Spain;42,7158;-3,6792;935733;4743001;Ebro basin;Arnillas;Passage grave;GrN-18671;4720;150;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Layer 3;Boaventura 2009;Delibes de Castro, Rojo Guerra 1997 ;Boaventura 2009/Delibes de Castro, Rojo Guerra 1997 ;n/a
S15;Portugal;40,5107;-8,0045;584339;4484918;Douro/Duero and Mondego basins;Arquinha da Moura;Megalithic grave;GrA-9573;4160;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement chamber;Cruz et al 2003;n/a;Cruz et al 2003;n/a
S15;Portugal;40,5107;-8,0045;584339;4484918;Douro/Duero and Mondego basins;Arquinha da Moura;Megalithic grave;GrA-23198;3710;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement chamber;Cruz et al 2003;n/a;Cruz et al 2003;n/a
S15;Portugal;40,5107;-8,0045;584339;4484918;Douro/Duero and Mondego basins;Arquinha da Moura;Megalithic grave;GrA-9575;3030;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement corridor;Cruz et al 2003;n/a;Cruz et al 2003;n/a
S15;Portugal;40,5107;-8,0045;584339;4484918;Douro/Duero and Mondego basins;Arquinha da Moura;Megalithic grave;GrA-9255;3650;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Ground level corridor;Cruz et al 2003;n/a;Cruz et al 2003;n/a
S15;Portugal;40,5107;-8,0045;584339;4484918;Douro/Duero and Mondego basins;Arquinha da Moura;Megalithic grave;GrA-9577;3740;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Lower level;Cruz et al 2003;n/a;Cruz et al 2003;n/a
S16;Spain;39,7806;-5,1484;829866;4410506;Tagus and western basins;Azut·n;Passage grave;Beta-157731;5250;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants mainly;Charcoal;Chamber;Bueno Ramirez et al 2005;Bueno Ramirez et al 2005;Bueno Ramirez et al 2005;n/a
S16;Spain;39,7806;-5,1484;829866;4410506;Tagus and western basins;Azut·n;Passage grave;Beta-145277;4620;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants mainly;Human bone;Chamber;Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan et al 2011;n/a
S16;Spain;39,7806;-5,1484;829866;4410506;Tagus and western basins;Azut·n;Passage grave;UGRA-288;5060;90;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants mainly;Human bone;Chamber;MuÅller 1998, 82;Bueno Ramirez 1991, 57;MÅuller 1998, 82/Bueno Ramirez 1991, 57;n/a
S16;Spain;39,7806;-5,1484;829866;4410506;Tagus and western basins;Azut·n;Passage grave;Ly-4500;4590;90;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants mainly;Human bone;Chamber;MuÅller 1998, 82;Bueno Ramirez 1991, 57;MuÅller 1998, 82/Bueno Ram°rez 1991, 57;n/a
S16;Spain;39,7806;-5,1484;829866;4410506;Tagus and western basins;Azut·n;Passage grave;Ly-4578;5750;130;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants mainly;Human bone;Chamber;MuÅller 1998, 82;Bueno Ramirez 1991, 113;MuÅller 1998, 82/Bueno Ramirez 1991, 113;n/a
S17;Spain;39,905736;4,212298;1631073;4501779;East;Biniai Nou 2;Rock-cut-tomb, artificial cave & hypogeum;UtC-8951;3200;35;-19,67;8,42;n/a;n/a;n/a;n/a;intcal20;Meat and vegetables. Low indices of marine resources;Human bone;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a
S17;Spain;39,905736;4,212298;1631073;4501779;East;Biniai Nou 2;Rock-cut-tomb, artificial cave & hypogeum;UtC-7845;2935;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;Meat and vegetables. Low indices of marine resources;Human bone;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a
S17;Spain;39,905736;4,212298;1631073;4501779;East;Biniai Nou 2;Rock-cut-tomb, artificial cave & hypogeum;UtC-8950;3635;35;-19,74;8,49;n/a;n/a;n/a;n/a;intcal20;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a
S17;Spain;39,905736;4,212298;1631073;4501779;East;Biniai Nou 2;Rock-cut-tomb, artificial cave & hypogeum;UtC-9043;3290;40;-19,5;8,63;n/a;n/a;n/a;n/a;intcal20;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a
