"Pass","Start S1","End S1","Start S2","End S2","Start S3","End S3",
0,-5431.06,-3680.83,-2330,-2217.95,-1620.47,-1334.15,
100,-4123.27,-3886.71,-2384.79,-1251.18,-1796.01,-1295.27,
200,-5305.69,-3695.64,-2459.28,315.33,-1925.4,-1266.31,
300,-4599.87,-3746.83,-4015.86,-661.572,-1662.7,-1346.96,
400,-4150.59,-2961.45,-2345.5,-1301.8,-1557.72,-1293.49,
500,-4083.38,-3496.66,-2549.25,-2525.57,-1620.45,-1220.38,
600,-4089.97,-3719.42,-1942.76,-1890.13,-1666.93,-1376.47,
700,-4752.2,-3612.37,-2134.07,-1992.33,-1829.46,-1382.58,
800,-4061.78,-3435.55,-2915.8,-1228.99,-1851.58,-1206.71,
900,-4449.05,-3071.29,-6098,-2356.3,-1644.89,-1325.95,
1000,-5502.33,-3518.4,-2314.48,-2016.51,-1558.19,-1359.76,
1100,-5893.96,-3012.86,-2215.67,-1871.51,-1577.59,-1238.88,
1200,-4586.36,-3863.07,-3962.58,2028.19,-1642.65,-1274.59,
1300,-4147.7,-3761.35,-3302.31,-1725.26,-1677.96,-1244.84,
1400,-4515.53,-3670.16,-6173.38,-1792.58,-1752.53,-1295.6,
1500,-4067.07,-3916.44,-2393.61,-2291.88,-1664.45,-1317.66,
1600,-4118.82,-3555.04,-4879.12,-1626.11,-1718.24,-1352.69,
1700,-4692.11,-3675.19,-6575.2,735.998,-1671.95,-1348.46,
1800,-6009.91,-3630.9,-2964.85,1057.72,-1664.08,-1229.28,
1900,-4362.92,-3533.31,-2826.83,-1869.61,-1771.38,-1290.79,
2000,-4323.11,-3863.76,-2032.32,-1828.27,-2745.42,-341.44,
2100,-4279.99,-3825.74,-3364.14,-1829.44,-1742.88,-1245.55,
2200,-4458.48,-3155.06,-6004.86,1845.77,-1666.75,-1327.27,
2300,-4972.07,-3476.18,-2001.5,-1974.37,-1706.61,-1224.72,
2400,-4250.19,-3854.59,-2728.21,-1344.2,-2057.25,-1295.18,
2500,-4620.45,-3847.31,-2772.02,-1210.28,-1670.47,-1305.21,
2600,-3971.95,-3882.13,-2435.07,-1525.67,-1686.24,-1313.85,
2700,-4095.73,-3948.04,-2053.34,-1834.18,-1681.8,-1292.83,
2800,-4186.82,-3638.52,-3199.26,-1117.3,-1701.2,-1271.15,
2900,-4028.81,-3866.95,-2326.44,-1541.88,-1637.53,-1275.76,
3000,-5278.31,-3307.31,-2928.34,-2088.34,-1771.31,-1285.64,
3100,-4387.8,-3687.43,-4000.93,752.118,-1633.68,-1200.36,
3200,-4416.76,-3730.83,-2392.84,-2114.13,-1780.18,-1302.78,
3300,-4958.94,-3294.84,-6200.72,644.87,-1776.13,-1344.57,
3400,-4226.86,-3776.37,-2674.78,-680.224,-1694.76,-1238.6,
3500,-3991.49,-3929.51,-3505.59,-148.786,-1645.17,-832.359,
3600,-5787.93,-3637.47,-3193.3,-2030.36,-1701.64,-1106.59,
3700,-5312.14,-3305.39,-3149.25,-1745.44,-1695.72,-1304.6,
3800,-4206.61,-3815.63,-4288.43,-1908.53,-1591.26,-1254.24,
3900,-4709.1,-3923.04,-2831.13,-2275.67,-1665.91,-1313.72,
4000,-4223.01,-3691.86,-2548.15,-2144.53,-1668.8,-1260.61,
4100,-4205.37,-3866.78,-2519.26,-2168.59,-1612.97,-1381.02,
4200,-4261.01,-3562.4,-3087.29,-1531.66,-1693.98,-1291.05,
4300,-4183.13,-3803.38,-2622.59,-1718.4,-1691.65,-1322.82,
4400,-4172.4,-3133.42,-5957.58,1546.56,-1726.38,-1168.81,
4500,-4283.22,-3801.03,-5073.38,1817.35,-1618.29,-1314.42,
4600,-4232.27,-2962.03,-6560.53,-1139.82,-2034.51,-1317.79,
4700,-6206.03,-2630.31,-5462.93,460.237,-1568.98,-1242.7,
4800,-6119.12,-3424.77,-2490.53,-1087.6,-1824.13,-1313.03,
4900,-4345.94,-3534.81,-2690.07,-1311.68,-2207.89,-1197.7,
5000,-4048.57,-3877.42,-3621.43,-1954.26,-2494.21,-1308.31,
5100,-4031.41,-3728.84,-3121.33,1059.15,-1734.37,-1349.65,
5200,-4458.56,-3629.43,-2173.28,-1788.54,-1736.87,-1162.15,
5300,-4878.46,-3453.17,-2853.51,-2483.23,-1613.67,-1371.98,
5400,-4156.81,-3724.29,-2655.74,-883.964,-1687.32,-1268.94,
5500,-4384.11,-3319.14,-4660.39,-1774.95,-1643.27,-1276.22,
5600,-4345.38,-3047.58,-2561.89,-61.6445,-1673.57,-1333.26,
5700,-4446.03,-3425.23,-4960.65,-1619.46,-1644.25,-1202.28,
5800,-4272.1,-3861.23,-5673.57,-1678.27,-2064.39,-894.862,
5900,-4679.2,-3699.93,-3821.45,-1556.43,-1803.11,-1107.97,
6000,-4620.96,-3688.84,-2444.39,-2063.11,-1608.01,-1292.82,
6100,-4380.04,-3602.94,-2221.33,-412.539,-1630.39,-1374.05,
6200,-5246.79,-3653.92,-5056.31,-1263.73,-1632.21,-1364.49,
6300,-4622.18,-3714.54,-6590.67,899.929,-1621.73,-1329.02,
6400,-4026.07,-3870.51,-3975.08,-1321.52,-1633.26,-1169.83,
6500,-5408.68,-3906.23,-2990.94,2006.76,-1974.81,-1186.33,
6600,-4303.07,-3335.45,-2461.35,-1274.07,-1741.95,-1306.57,
6700,-4089.7,-3708.77,-2251.11,-1916.43,-1834.19,-1287.34,
6800,-4233.59,-3284.93,-6011.97,1934.85,-1950.57,-1282.12,
6900,-4505.84,-3618.46,-2134.75,-1987.88,-1593.29,-1265.61,
7000,-4205.53,-3826.42,-2224.91,-2051.57,-1672.64,-1329.37,
7100,-4153.3,-3590.55,-2631.27,-2011.65,-1641.7,-1143.4,
7200,-4240.32,-3687.32,-3550.94,-1768.84,-1780.94,-1142.57,
7300,-4201.31,-3920.66,-5071.05,-679.6,-1556.02,-1325.53,
7400,-4646.05,-3253.37,-2531.67,-1629.59,-1702.65,-1289.46,
7500,-4567.1,-3700.55,-5273.4,1017.15,-2012.49,-1280.02,
7600,-5619.44,-2581.67,-2376.55,-2229.34,-2048.76,-1016.29,
7700,-4720.18,-2960.28,-2613.74,-2083.55,-1912.53,-1334.17,
7800,-4862.22,-3830.16,-2331.11,-2308.33,-1774.76,-1122.67,
7900,-4039.02,-3826,-2864.13,-1777.48,-1680.04,-1137.9,
8000,-3973.57,-3971.18,-2557.05,-574.667,-1686.26,-1110.21,
8100,-3973.57,-3971.18,-3043.89,-1559.98,-1575.62,-1342,
8200,-4235.06,-3238.59,-4361.29,-118.787,-1692.9,-1167.27,
8300,-4287.7,-3698.5,-4849.55,-1708.36,-1694.9,-1201.35,
8400,-4938.19,-2984.67,-2237,-2063.84,-1645.72,-1359.85,
8500,-4064.44,-3794.14,-2809.12,-2433.32,-1632.67,-1294.12,
8600,-4495.56,-3611.97,-2342.19,-2293.23,-1723.75,-1095.55,
8700,-4522.09,-3665.69,-4418.45,-549.636,-1606.38,-1254.15,
8800,-4325.55,-3612.18,-5874.19,-1331.19,-1606.67,-1284.79,
8900,-4185.19,-3533.35,-2261.15,-1257.67,-1661.45,-1296.29,
9000,-4207.77,-3849.97,-3323.04,-1991.67,-1597.26,-1363.64,
9100,-4320.99,-3868.49,-5756,121.604,-1576.55,-1180.43,
9200,-5365.6,-2541.99,-2593.2,-2173.58,-1624.33,-1322.78,
9300,-4368.15,-3492.85,-2301.97,-2050.95,-1773.71,-1033.87,
9400,-4289.37,-3864.66,-2489.88,-2437.36,-1616.74,-1292.15,
